GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
PetrecaDelivery :: Coverage Report Aggregator/service-registry,com.petreca.petrecadelivery.service.registry,ServiceRegistryApplication,5,3,0,0,2,1,1,1,1,1
PetrecaDelivery :: Coverage Report Aggregator/gateway,com.petreca.petrecadelivery.gateway,Resilience4jCircuitBreakerEventConsumer,7,14,0,0,2,5,3,3,3,3
PetrecaDelivery :: Coverage Report Aggregator/gateway,com.petreca.petrecadelivery.gateway,GatewayApplication,5,3,0,0,2,1,1,1,1,1
PetrecaDelivery :: Coverage Report Aggregator/gateway,com.petreca.petrecadelivery.gateway.infrastructure.exception,GlobalErrorWebExceptionHandler,0,90,1,5,0,21,1,5,0,3
PetrecaDelivery :: Coverage Report Aggregator/gateway,com.petreca.petrecadelivery.gateway.infrastructure.security,SecurityConfig,0,43,0,0,0,9,0,5,0,5
PetrecaDelivery :: Coverage Report Aggregator/courier-management,com.petreca.petrecadelivery.courier.management,CourierManagementApplication,5,3,0,0,2,1,1,1,1,1
PetrecaDelivery :: Coverage Report Aggregator/courier-management,com.petreca.petrecadelivery.courier.management.domain.service,CourierQueryService,0,24,0,0,0,3,0,3,0,3
PetrecaDelivery :: Coverage Report Aggregator/courier-management,com.petreca.petrecadelivery.courier.management.domain.service,CourierDeliveryService,0,62,0,0,0,13,0,5,0,5
PetrecaDelivery :: Coverage Report Aggregator/courier-management,com.petreca.petrecadelivery.courier.management.domain.service,CourierPayoutService,0,15,0,0,0,4,0,2,0,2
PetrecaDelivery :: Coverage Report Aggregator/courier-management,com.petreca.petrecadelivery.courier.management.domain.service,CourierRegistrationService,0,68,0,0,0,14,0,4,0,4
PetrecaDelivery :: Coverage Report Aggregator/courier-management,com.petreca.petrecadelivery.courier.management.api.exception,GlobalExceptionHandler,11,14,0,0,4,5,1,2,1,2
PetrecaDelivery :: Coverage Report Aggregator/courier-management,com.petreca.petrecadelivery.courier.management.infrastructure.kafka,KafkaDeliveriesMessageHandler,0,29,0,0,0,9,0,4,0,4
PetrecaDelivery :: Coverage Report Aggregator/courier-management,com.petreca.petrecadelivery.courier.management.api.model,CourierPayoutCalculationInput,0,6,0,0,0,1,0,1,0,1
PetrecaDelivery :: Coverage Report Aggregator/courier-management,com.petreca.petrecadelivery.courier.management.api.model,CourierInput,0,9,0,0,0,1,0,1,0,1
PetrecaDelivery :: Coverage Report Aggregator/courier-management,com.petreca.petrecadelivery.courier.management.api.model,CourierPayoutResultModel,0,6,0,0,0,1,0,1,0,1
PetrecaDelivery :: Coverage Report Aggregator/courier-management,com.petreca.petrecadelivery.courier.management.domain.model,Courier,71,19,0,0,11,6,3,2,3,2
PetrecaDelivery :: Coverage Report Aggregator/courier-management,com.petreca.petrecadelivery.courier.management.domain.model,AssignedDelivery,15,0,0,0,5,0,1,0,1,0
PetrecaDelivery :: Coverage Report Aggregator/courier-management,com.petreca.petrecadelivery.courier.management.api.controller,CourierController,0,44,0,0,0,10,0,6,0,6
PetrecaDelivery :: Coverage Report Aggregator/courier-management,com.petreca.petrecadelivery.courier.management.domain.exception,NoCouriersAvailableException,5,4,0,0,2,2,1,1,1,1
PetrecaDelivery :: Coverage Report Aggregator/courier-management,com.petreca.petrecadelivery.courier.management.domain.exception,DomainException,5,4,0,0,1,2,1,1,1,1
PetrecaDelivery :: Coverage Report Aggregator/delivery-tracking,com.petreca.petrecadelivery.delivery.tracking.infrastructure.http.client,BadGatewayException,3,4,0,0,2,2,1,1,1,1
PetrecaDelivery :: Coverage Report Aggregator/delivery-tracking,com.petreca.petrecadelivery.delivery.tracking.infrastructure.http.client,CourierAPIClientConfig,0,39,0,0,0,12,0,4,0,4
PetrecaDelivery :: Coverage Report Aggregator/delivery-tracking,com.petreca.petrecadelivery.delivery.tracking.infrastructure.http.client,CourierPayoutCalculationServiceHttpImpl,0,23,0,0,0,6,0,1,0,1
PetrecaDelivery :: Coverage Report Aggregator/delivery-tracking,com.petreca.petrecadelivery.delivery.tracking.infrastructure.http.client,GatewayTimeoutException,3,4,0,0,2,2,1,1,1,1
PetrecaDelivery :: Coverage Report Aggregator/delivery-tracking,com.petreca.petrecadelivery.delivery.tracking.api.model,DeliveryInput,0,12,0,0,0,1,0,1,0,1
PetrecaDelivery :: Coverage Report Aggregator/delivery-tracking,com.petreca.petrecadelivery.delivery.tracking.api.model,CourierIdInput,6,0,0,0,1,0,1,0,1,0
PetrecaDelivery :: Coverage Report Aggregator/delivery-tracking,com.petreca.petrecadelivery.delivery.tracking.api.model,ItemInput,0,9,0,0,0,1,0,1,0,1
PetrecaDelivery :: Coverage Report Aggregator/delivery-tracking,com.petreca.petrecadelivery.delivery.tracking.api.model,ContactPointInput,0,21,0,0,0,1,0,1,0,1
PetrecaDelivery :: Coverage Report Aggregator/delivery-tracking,com.petreca.petrecadelivery.delivery.tracking.domain.service,DeliveryPreparationService,0,155,0,2,0,43,0,6,0,5
PetrecaDelivery :: Coverage Report Aggregator/delivery-tracking,com.petreca.petrecadelivery.delivery.tracking.domain.service,DeliveryCheckpointService,0,49,0,0,0,12,0,3,0,3
PetrecaDelivery :: Coverage Report Aggregator/delivery-tracking,com.petreca.petrecadelivery.delivery.tracking.infrastructure.fake,DeliveryTimeEstimationServiceFakeImpl,8,3,0,0,1,1,1,1,1,1
PetrecaDelivery :: Coverage Report Aggregator/delivery-tracking,com.petreca.petrecadelivery.delivery.tracking.api.controller,DeliveryController,24,28,0,0,5,7,3,5,3,5
PetrecaDelivery :: Coverage Report Aggregator/delivery-tracking,com.petreca.petrecadelivery.delivery.tracking.domain.model,DeliveryStatus,0,61,0,0,0,9,0,3,0,3
PetrecaDelivery :: Coverage Report Aggregator/delivery-tracking,com.petreca.petrecadelivery.delivery.tracking.domain.model,Item,0,18,0,0,0,6,0,1,0,1
PetrecaDelivery :: Coverage Report Aggregator/delivery-tracking,com.petreca.petrecadelivery.delivery.tracking.domain.model,Delivery,15,259,5,13,2,72,6,22,1,18
PetrecaDelivery :: Coverage Report Aggregator/delivery-tracking,com.petreca.petrecadelivery.delivery.tracking.infrastructure.kafka,IntegrationEventPublisherKafkaImpl,21,4,0,0,4,1,1,1,1,1
PetrecaDelivery :: Coverage Report Aggregator/delivery-tracking,com.petreca.petrecadelivery.delivery.tracking.infrastructure.kafka,KafkaTopicConfig,0,11,0,0,0,5,0,2,0,2
PetrecaDelivery :: Coverage Report Aggregator/delivery-tracking,com.petreca.petrecadelivery.delivery.tracking,DeliveryTrackingApplication,5,3,0,0,2,1,1,1,1,1
PetrecaDelivery :: Coverage Report Aggregator/delivery-tracking,com.petreca.petrecadelivery.delivery.tracking.infrastructure.event,DeliveryDomainEventHandler,0,43,0,0,0,13,0,4,0,4
PetrecaDelivery :: Coverage Report Aggregator/delivery-tracking,com.petreca.petrecadelivery.delivery.tracking.infrastructure.resilience4j,Resilience4jRetryEventConsumer,14,7,0,0,5,2,4,2,4,2
PetrecaDelivery :: Coverage Report Aggregator/delivery-tracking,com.petreca.petrecadelivery.delivery.tracking.infrastructure.resilience4j,Resilience4jCircuitBreakerEventConsumer,14,7,0,0,5,2,4,2,4,2
PetrecaDelivery :: Coverage Report Aggregator/delivery-tracking,com.petreca.petrecadelivery.delivery.tracking.domain.exception,DomainException,5,7,0,0,2,4,1,2,1,2
